timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,dns_query,http_host,http_uri,flags,is_suspicious
2025-01-22T19:44:59.690031+00:00,10.1.17.215,10.1.17.2,56455.0,389.0,UDP,241,,,,,False
2025-01-22T19:44:59.690587+00:00,10.1.17.2,10.1.17.215,389.0,56455.0,UDP,224,,,,,False
2025-01-22T19:44:59.690588+00:00,10.1.17.2,10.1.17.215,389.0,56455.0,UDP,224,,,,,False
2025-01-22T19:44:59.838866+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:44:59.864230+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:00.447750+00:00,10.1.17.215,10.1.17.255,137.0,137.0,UDP,110,,,,,False
2025-01-22T19:45:00.529294+00:00,10.1.17.215,239.255.255.250,50325.0,1900.0,UDP,179,,,,,False
2025-01-22T19:45:00.739531+00:00,10.1.17.215,10.1.17.2,57803.0,53.0,UDP,94,kv801.prod.do.dsp.mp.microsoft.com,,,,True
2025-01-22T19:45:00.800427+00:00,10.1.17.2,10.1.17.215,53.0,57803.0,UDP,204,kv801.prod.do.dsp.mp.microsoft.com,,,,True
2025-01-22T19:45:00.800698+00:00,10.1.17.215,10.1.17.2,57803.0,53.0,UDP,94,kv801.prod.do.dsp.mp.microsoft.com,,,,True
2025-01-22T19:45:00.800920+00:00,10.1.17.2,10.1.17.215,53.0,57803.0,UDP,204,kv801.prod.do.dsp.mp.microsoft.com,,,,True
2025-01-22T19:45:00.800920+00:00,10.1.17.215,10.1.17.2,,,ICMP,232,kv801.prod.do.dsp.mp.microsoft.com,,,,True
2025-01-22T19:45:00.801439+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,66,,,,S,False
2025-01-22T19:45:00.840026+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,66,,,,SA,False
2025-01-22T19:45:00.840389+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:00.841221+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,271,,,,PA,False
2025-01-22T19:45:00.895200+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,60,,,,A,False
2025-01-22T19:45:00.895591+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,1430,,,,A,False
2025-01-22T19:45:00.895602+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,1430,,,,PA,False
2025-01-22T19:45:00.895710+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,1398,,,,PA,False
2025-01-22T19:45:00.895935+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,1430,,,,A,False
2025-01-22T19:45:00.895935+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:00.895936+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:00.935136+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,583,,,,PA,False
2025-01-22T19:45:00.937526+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,180,,,,PA,False
2025-01-22T19:45:00.971043+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,344,,,,PA,False
2025-01-22T19:45:00.972594+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,382,,,,PA,False
2025-01-22T19:45:01.016051+00:00,23.40.146.4,10.1.17.215,443.0,50085.0,TCP,1390,,,,PA,False
2025-01-22T19:45:01.022925+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,66,,,,S,False
2025-01-22T19:45:01.058901+00:00,10.1.17.215,23.40.146.4,50085.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:01.114992+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,66,,,,SA,False
2025-01-22T19:45:01.115629+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:01.116508+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,269,,,,PA,False
2025-01-22T19:45:01.201129+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,1430,,,,A,False
2025-01-22T19:45:01.201283+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,1109,,,,PA,False
2025-01-22T19:45:01.201768+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:01.204249+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,212,,,,PA,False
2025-01-22T19:45:01.208884+00:00,10.1.17.215,10.1.17.255,137.0,137.0,UDP,110,,,,,False
2025-01-22T19:45:01.278147+00:00,10.1.17.215,10.1.17.2,64008.0,53.0,UDP,83,www.msftconnecttest.com,,,,True
2025-01-22T19:45:01.294652+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,105,,,,PA,False
2025-01-22T19:45:01.294678+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,123,,,,PA,False
2025-01-22T19:45:01.294678+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:01.295548+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,141,,,,PA,False
2025-01-22T19:45:01.295548+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,229,,,,PA,False
2025-01-22T19:45:01.295548+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,92,,,,PA,False
2025-01-22T19:45:01.352511+00:00,10.1.17.215,10.1.17.2,64008.0,53.0,UDP,83,www.msftconnecttest.com,,,,True
2025-01-22T19:45:01.363501+00:00,10.1.17.2,10.1.17.215,53.0,64008.0,UDP,227,www.msftconnecttest.com,,,,True
2025-01-22T19:45:01.364101+00:00,10.1.17.215,23.220.102.9,50087.0,80.0,TCP,66,,,,S,False
2025-01-22T19:45:01.409981+00:00,23.220.102.9,10.1.17.215,80.0,50087.0,TCP,66,,,,SA,False
2025-01-22T19:45:01.410935+00:00,10.1.17.215,23.220.102.9,50087.0,80.0,TCP,60,,,,A,False
2025-01-22T19:45:01.411106+00:00,10.1.17.215,23.220.102.9,50087.0,80.0,TCP,165,,www.msftconnecttest.com,/connecttest.txt,PA,True
2025-01-22T19:45:01.419906+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,92,,,,PA,False
2025-01-22T19:45:01.420188+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,60,,,,A,False
2025-01-22T19:45:01.429432+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,631,,,,PA,False
2025-01-22T19:45:01.430053+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:01.430387+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,FA,False
2025-01-22T19:45:01.459997+00:00,23.220.102.9,10.1.17.215,80.0,50087.0,TCP,60,,,,A,False
2025-01-22T19:45:01.460188+00:00,23.220.102.9,10.1.17.215,80.0,50087.0,TCP,241,,,,PA,False
2025-01-22T19:45:01.460188+00:00,23.220.102.9,10.1.17.215,80.0,50087.0,TCP,60,,,,FA,False
2025-01-22T19:45:01.461001+00:00,10.1.17.215,23.220.102.9,50087.0,80.0,TCP,60,,,,A,False
2025-01-22T19:45:01.461001+00:00,10.1.17.215,23.220.102.9,50087.0,80.0,TCP,60,,,,FA,False
2025-01-22T19:45:01.507963+00:00,23.220.102.9,10.1.17.215,80.0,50087.0,TCP,60,,,,A,False
2025-01-22T19:45:01.520897+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,96,,,,PA,False
2025-01-22T19:45:01.520898+00:00,52.156.123.84,10.1.17.215,443.0,50086.0,TCP,60,,,,FA,False
2025-01-22T19:45:01.521042+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,RA,False
2025-01-22T19:45:01.521042+00:00,10.1.17.215,52.156.123.84,50086.0,443.0,TCP,60,,,,R,False
2025-01-22T19:45:01.967160+00:00,10.1.17.215,10.1.17.255,137.0,137.0,UDP,110,,,,,False
2025-01-22T19:45:01.991842+00:00,10.1.17.215,10.1.17.2,53533.0,53.0,UDP,82,client.wns.windows.com,,,,False
2025-01-22T19:45:02.040659+00:00,10.1.17.2,10.1.17.215,53.0,53533.0,UDP,141,client.wns.windows.com,,,,False
2025-01-22T19:45:02.041930+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,66,,,,S,False
2025-01-22T19:45:02.129964+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,66,,,,SA,False
2025-01-22T19:45:02.130624+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:02.131674+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,232,,,,PA,False
2025-01-22T19:45:02.230239+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,1430,,,,A,False
2025-01-22T19:45:02.230241+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,138,,,,PA,False
2025-01-22T19:45:02.230828+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,1430,,,,A,False
2025-01-22T19:45:02.230829+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,138,,,,PA,False
2025-01-22T19:45:02.230830+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,1217,,,,PA,False
2025-01-22T19:45:02.230950+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:02.232915+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,212,,,,PA,False
2025-01-22T19:45:02.324508+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,105,,,,PA,False
2025-01-22T19:45:02.328413+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,414,,,,PA,False
2025-01-22T19:45:02.328579+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,1167,,,,PA,False
2025-01-22T19:45:02.328580+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,301,,,,PA,False
2025-01-22T19:45:02.415025+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,335,,,,PA,False
2025-01-22T19:45:02.415227+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:02.426100+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,60,,,,A,False
2025-01-22T19:45:02.426101+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,60,,,,A,False
2025-01-22T19:45:02.426253+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,155,,,,PA,False
2025-01-22T19:45:02.426751+00:00,10.1.17.215,20.10.31.115,50088.0,443.0,TCP,60,,,,A,False
2025-01-22T19:45:02.427837+00:00,20.10.31.115,10.1.17.215,443.0,50088.0,TCP,232,,,,PA,False
